Position,Const,Created,Modified,Description,Name,Known For,Birth Date
331,nm0316284,2024-01-08,2024-01-08,"11371 points","Giancarlo Giannini","Quantum of Solace","1 августа 1942 г."
332,nm0000060,2024-01-08,2024-01-08,"11240 points","Gregory Peck","To Kill a Mockingbird","5 апреля 1916 г."
333,nm2257207,2024-01-08,2024-01-08,"11221 points","Daniel Kaluuya","Get Out","24 февраля 1989 г."
334,nm0001702,2024-01-08,2024-01-08,"11209 points","Roy Scheider","Jaws","10 ноября 1932 г."
335,nm2309517,2024-01-08,2024-01-08,"11193 points","Armie Hammer","Call Me by Your Name","28 августа 1986 г."
336,nm0000418,2024-01-08,2024-01-08,"11167 points","Danny Glover","Lethal Weapon","22 июля 1946 г."
337,nm2002649,2024-01-08,2024-01-08,"11140 points","Dave Franco","Neighbors","12 июня 1985 г."
338,nm0913475,2024-01-08,2024-01-08,"11133 points","John David Washington","Tenet","28 июля 1984 г."
339,nm0377336,2024-01-08,2024-01-08,"11113 points","Aksel Hennie","Max Manus","29 октября 1975 г."
340,nm0167388,2024-01-08,2024-01-08,"11029 points","François Cluzet","Intouchables","21 сентября 1955 г."
341,nm0000554,2024-01-08,2024-01-08,"10931 points","Sam Neill","Jurassic Park","14 сентября 1947 г."
342,nm0000026,2024-01-08,2024-01-08,"10930 points","Cary Grant","North by Northwest","18 января 1904 г."
343,nm0396558,2024-01-08,2024-01-08,"10900 points","Nicholas Hoult","About a Boy","7 декабря 1989 г."
344,nm0532193,2024-01-08,2024-01-08,"10871 points","Matthew Macfadyen","Succession","17 октября 1974 г."
345,nm0458460,2024-01-08,2024-01-08,"10856 points","Burghart Klaußner","Die fetten Jahre sind vorbei","13 сентября 1949 г."
346,nm0004936,2024-01-08,2024-06-16,"10772 points","Ben Foster","Hell or High Water","29 октября 1980 г."
347,nm0000454,2024-01-08,2024-01-08,"10752 points","Dennis Hopper","Easy Rider","17 мая 1936 г."
348,nm0001638,2024-01-08,2024-01-08,"10734 points","Jürgen Prochnow","Dune","10 июня 1941 г."
349,nm0000439,2024-01-08,2024-01-08,"10706 points","Neil Patrick Harris","A Series of Unfortunate Events","15 июня 1973 г."
