Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000093,2024-01-08,2024-03-08,"187032 points","Brad Pitt","Fight Club","18 декабря 1963 г."
2,nm0000151,2024-01-08,2024-06-12,"185760 points","Morgan Freeman","Driving Miss Daisy","1 июня 1937 г."
3,nm0000138,2024-01-08,2024-03-09,"172026 points","Leonardo DiCaprio","Inception","11 ноября 1974 г."
4,nm0000354,2024-01-08,2024-03-09,"155332 points","Matt Damon","Good Will Hunting","8 октября 1970 г."
5,nm0000134,2024-01-08,2024-03-09,"155272 points","Robert De Niro","Cape Fear","17 августа 1943 г."
6,nm0000323,2024-01-08,2024-01-08,"144652 points","Michael Caine","The Dark Knight","14 марта 1933 г."
7,nm0000288,2024-01-08,2024-02-21,"135083 points","Christian Bale","The Dark Knight","30 января 1974 г."
8,nm0000158,2024-01-08,2024-04-25,"126006 points","Tom Hanks","Cast Away","9 июля 1956 г."
9,nm0000198,2024-01-08,2024-01-08,"115227 points","Gary Oldman","The Dark Knight","21 марта 1958 г."
10,nm0000246,2024-01-08,2024-06-16,"111799 points","Bruce Willis","Die Hard","19 марта 1955 г."
11,nm0000199,2024-01-08,2024-01-08,"108544 points","Al Pacino","Serpico","25 апреля 1940 г."
12,nm0001570,2024-01-08,2024-04-25,"100358 points","Edward Norton","Fight Club","18 августа 1969 г."
13,nm0614165,2024-01-08,2024-04-24,"94252 points","Cillian Murphy","28 Days Later...","25 мая 1976 г."
14,nm0000129,2024-01-08,2024-06-12,"92005 points","Tom Cruise","Top Gun","3 июля 1962 г."
15,nm0000136,2024-01-08,2024-01-08,"91469 points","Johnny Depp","Pirates of the Caribbean: The Curse of the Black Pearl","9 июня 1963 г."
16,nm0000148,2024-01-08,2024-03-20,"88982 points","Harrison Ford","Raiders of the Lost Ark","13 июля 1942 г."
17,nm0000168,2024-01-08,2024-01-08,"85057 points","Samuel L. Jackson","Pulp Fiction","21 декабря 1948 г."
18,nm0000450,2024-01-08,2024-04-07,"81086 points","Philip Seymour Hoffman","The Master","23 июля 1967 г."
19,nm0000228,2024-01-08,2024-06-23,"80112 points","Kevin Spacey","L.A. Confidential","26 июля 1959 г."
20,nm0000146,2024-01-08,2024-01-08,"77799 points","Ralph Fiennes","The Constant Gardener","22 декабря 1962 г."
21,nm0000553,2024-01-08,2024-05-24,"76221 points","Liam Neeson","Kinsey","7 июня 1952 г."
22,nm0362766,2024-01-08,2024-01-09,"75713 points","Tom Hardy","Inception","15 сентября 1977 г."
23,nm0000437,2024-01-08,2024-02-13,"74294 points","Woody Harrelson","True Detective","23 июля 1961 г."
24,nm0000197,2024-01-08,2024-01-08,"73883 points","Jack Nicholson","Chinatown","22 апреля 1937 г."
25,nm0331516,2024-01-08,2024-04-27,"73115 points","Ryan Gosling","Blue Valentine","12 ноября 1980 г."
26,nm0000380,2024-01-08,2024-01-23,"70516 points","Robert Duvall","The Apostle","5 января 1931 г."
27,nm0330687,2024-01-08,2024-01-08,"70398 points","Joseph Gordon-Levitt","Inception","17 февраля 1981 г."
28,nm0000114,2024-01-08,2024-07-01,"70378 points","Steve Buscemi","Fargo","13 декабря 1957 г."
29,nm0350453,2024-01-08,2024-06-29,"69338 points","Jake Gyllenhaal","Nightcrawler","19 декабря 1980 г."
30,nm0000353,2024-01-08,2024-04-25,"69127 points","Willem Dafoe","Spider-Man","22 июля 1955 г."
31,nm0000172,2024-01-08,2024-01-08,"67539 points","Harvey Keitel","Reservoir Dogs","13 мая 1939 г."
32,nm0000128,2024-01-08,2024-01-08,"67096 points","Russell Crowe","Les Misérables","7 апреля 1964 г."
33,nm0177896,2024-01-08,2024-03-10,"65640 points","Bradley Cooper","A Star Is Born","5 января 1975 г."
34,nm0000243,2024-01-08,2024-04-27,"64987 points","Denzel Washington","Fences","28 декабря 1954 г."
35,nm0749263,2024-01-08,2024-03-11,"63186 points","Mark Ruffalo","Spotlight","22 ноября 1967 г."
36,nm0000123,2024-01-08,2024-01-08,"63095 points","George Clooney","The Ides of March","6 мая 1961 г."
37,nm1055413,2024-01-08,2024-07-03,"62052 points","Michael Fassbender","Shame","2 апреля 1977 г."
38,nm0000661,2024-01-08,2024-06-23,"59835 points","Donald Sutherland","The Hunger Games: Catching Fire","17 июля 1935 г."
39,nm0000190,2024-01-08,2024-05-07,"59745 points","Matthew McConaughey","Interstellar","4 ноября 1969 г."
40,nm0929489,2024-01-08,2024-01-08,"58190 points","Tom Wilkinson","Michael Clayton","5 февраля 1948 г."
41,nm0915989,2024-01-08,2024-01-08,"57041 points","Hugo Weaving","The Lord of the Rings: The Return of the King","4 апреля 1960 г."
42,nm0000142,2024-01-08,2024-03-13,"56004 points","Clint Eastwood","Million Dollar Baby","31 мая 1930 г."
43,nm0000209,2024-01-08,2024-01-08,"55840 points","Tim Robbins","Mystic River","16 октября 1958 г."
44,nm0000179,2024-01-08,2024-01-08,"55794 points","Jude Law","The Talented Mr. Ripley","29 декабря 1972 г."
45,nm0001618,2024-01-08,2024-01-08,"55471 points","Joaquin Phoenix","Walk the Line","28 октября 1974 г."
46,nm0000255,2024-01-08,2024-01-08,"55081 points","Ben Affleck","Argo","15 августа 1972 г."
47,nm0000729,2024-01-08,2024-01-08,"54670 points","Casey Affleck","Manchester by the Sea","12 августа 1975 г."
48,nm0000206,2024-01-08,2024-04-22,"54213 points","Keanu Reeves","The Matrix","2 сентября 1964 г."
49,nm0000438,2024-01-08,2024-01-08,"52899 points","Ed Harris","Appaloosa","28 ноября 1950 г."
50,nm0000457,2024-01-08,2024-01-08,"52692 points","John Hurt","Nineteen Eighty-Four","22 января 1940 г."
51,nm0000226,2024-01-08,2024-05-28,"52632 points","Will Smith","The Fresh Prince of Bel-Air","25 сентября 1968 г."
52,nm0316079,2024-01-08,2024-03-23,"51854 points","Paul Giamatti","Sideways","6 июня 1967 г."
53,nm0002253,2024-01-08,2024-01-08,"51803 points","John Carroll Lynch","The Founder","1 августа 1963 г."
54,nm0185819,2024-01-08,2024-01-09,"51799 points","Daniel Craig","Casino Royale","2 марта 1968 г."
55,nm0001602,2024-01-08,2024-01-08,"51649 points","Guy Pearce","Memento","5 октября 1967 г."
56,nm0000285,2024-01-08,2024-01-08,"51550 points","Alec Baldwin","The Departed","3 апреля 1958 г."
57,nm0000614,2024-01-08,2024-01-08,"51468 points","Alan Rickman","Die Hard","21 февраля 1946 г."
58,nm0001426,2024-01-08,2024-01-08,"51423 points","Ben Kingsley","Sexy Beast","31 декабря 1943 г."
59,nm0252230,2024-01-08,2024-01-08,"50875 points","Chiwetel Ejiofor","12 Years a Slave","10 июля 1977 г."
60,nm0000195,2024-01-08,2024-01-27,"50126 points","Bill Murray","Lost in Translation","21 сентября 1950 г."
61,nm0000160,2024-01-08,2024-03-10,"49812 points","Ethan Hawke","Training Day","6 ноября 1970 г."
62,nm0004937,2024-01-08,2024-06-23,"49465 points","Jamie Foxx","Collateral","13 декабря 1967 г."
63,nm0268199,2024-01-08,2024-06-23,"49131 points","Colin Farrell","The Lobster","31 мая 1976 г."
64,nm0001467,2024-01-08,2024-01-08,"49087 points","Jared Leto","Dallas Buyers Club","26 декабря 1971 г."
65,nm0001030,2024-01-08,2024-01-08,"49039 points","John Cazale","Dog Day Afternoon","12 августа 1935 г."
66,nm0001608,2024-01-08,2024-01-08,"48983 points","Barry Pepper","'Saving Private Ryan': Boot Camp","4 апреля 1970 г."
67,nm0005132,2024-01-08,2024-01-08,"48443 points","Heath Ledger","Brokeback Mountain","4 апреля 1979 г."
68,nm0000242,2024-01-08,2024-01-08,"48139 points","Mark Wahlberg","The Fighter","5 июня 1971 г."
69,nm0001745,2024-01-08,2024-05-31,"47866 points","Stellan Skarsgård","Good Will Hunting","13 июня"
70,nm0000164,2024-01-08,2024-07-01,"47839 points","Anthony Hopkins","The Silence of the Lambs","31 декабря 1937 г."
71,nm0005377,2024-01-08,2024-02-06,"47221 points","Sam Rockwell","Moon","5 ноября 1968 г."
72,nm0413168,2024-01-08,2024-06-04,"47107 points","Hugh Jackman","Les Misérables","12 октября 1968 г."
73,nm0001804,2024-01-08,2024-01-08,"46579 points","Stanley Tucci","Big Night","11 ноября 1960 г."
74,nm0000401,2024-01-08,2024-01-08,"46571 points","Laurence Fishburne","The Matrix","30 июля 1961 г."
75,nm0000375,2024-01-08,2024-05-06,"46199 points","Robert Downey Jr.","Iron Man","4 апреля 1965 г."
76,nm0910607,2024-01-08,2024-01-08,"45674 points","Christoph Waltz","Django Unchained","4 октября 1956 г."
77,nm0000982,2024-01-08,2024-06-19,"45539 points","Josh Brolin","Avengers: Endgame","12 февраля 1968 г."
78,nm0000163,2024-01-08,2024-01-08,"44975 points","Dustin Hoffman","Tootsie","8 августа 1937 г."
79,nm0000619,2024-01-08,2024-01-08,"44850 points","Tim Roth","Rob Roy","14 мая 1961 г."
80,nm0000453,2024-01-08,2024-01-08,"44814 points","Ian Holm","The Lord of the Rings: The Return of the King","12 сентября 1931 г."
81,nm0001691,2024-01-08,2024-01-08,"44808 points","Geoffrey Rush","The King's Speech","6 июля 1951 г."
82,nm0000640,2024-01-08,2024-01-08,"44434 points","Martin Sheen","The Departed","3 августа 1940 г."
83,nm0322407,2024-01-08,2024-01-08,"44393 points","Brendan Gleeson","Calvary","29 марта 1955 г."
84,nm0000191,2024-01-08,2024-07-01,"44161 points","Ewan McGregor","Moulin Rouge!","31 марта 1971 г."
85,nm0000422,2024-01-08,2024-03-04,"44103 points","John Goodman","10 Cloverfield Lane","20 июня 1952 г."
86,nm0089217,2024-01-08,2024-01-08,"44041 points","Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","13 января 1977 г."
87,nm0000514,2024-01-08,2024-01-08,"43787 points","Michael Madsen","Reservoir Dogs","25 сентября 1957 г."
88,nm0913822,2024-01-08,2024-01-08,"43522 points","Ken Watanabe","The Last Samurai","21 октября 1959 г."
89,nm0000592,2024-01-08,2024-01-08,"43278 points","Pete Postlethwaite","The Usual Suspects","7 февраля 1946 г."
90,nm0001626,2024-01-08,2024-01-08,"43194 points","Christopher Plummer","Beginners","13 декабря 1929 г."
91,nm0000849,2024-01-08,2024-01-08,"43184 points","Javier Bardem","Skyfall","1 марта 1969 г."
92,nm0788335,2024-01-08,2024-03-08,"42052 points","Michael Shannon","Take Shelter","7 августа 1974 г."
93,nm0001125,2024-01-08,2024-03-09,"42037 points","Benicio Del Toro","Sicario","19 февраля 1967 г."
94,nm0001845,2024-01-08,2024-04-22,"41677 points","Forest Whitaker","The Last King of Scotland","15 июля 1961 г."
95,nm0000362,2024-01-08,2024-07-01,"41517 points","Danny DeVito","Matilda","17 ноября 1944 г."
96,nm0000582,2024-01-08,2024-01-08,"41464 points","Joe Pesci","Goodfellas","9 февраля 1943 г."
97,nm0005562,2024-01-08,2024-01-27,"41271 points","Owen Wilson","The Royal Tenenbaums","18 ноября 1968 г."
98,nm0004778,2024-01-08,2024-04-25,"40950 points","Adrien Brody","The Pianist","14 апреля 1973 г."
99,nm0117709,2024-01-08,2024-01-08,"40443 points","Daniel Brühl","Rush","16 июня 1978 г."
100,nm0000237,2024-01-08,2024-01-08,"39763 points","John Travolta","Pulp Fiction","18 февраля 1954 г."
101,nm0001884,2024-01-08,2024-01-08,"39750 points","Max von Sydow","Flash Gordon","10 апреля 1929 г."
102,nm0000245,2024-01-08,2024-04-07,"39698 points","Robin Williams","Mrs. Doubtfire","21 июля 1951 г."
103,nm0000502,2024-01-08,2024-01-08,"39683 points","Christopher Lloyd","Back to the Future","22 октября 1938 г."
104,nm0000147,2024-01-08,2024-05-31,"39681 points","Colin Firth","A Single Man","10 сентября 1960 г."
105,nm0719637,2024-01-08,2024-01-08,"39579 points","Jeremy Renner","The Hurt Locker","7 января 1971 г."
106,nm1212722,2024-01-08,2024-01-08,"39545 points","Benedict Cumberbatch","The Imitation Game","19 июля 1976 г."
107,nm0200452,2024-01-08,2024-04-21,"39078 points","Paul Dano","There Will Be Blood","19 июня 1984 г."
108,nm0001765,2024-01-08,2024-06-16,"38838 points","Harry Dean Stanton","Lucky","14 июля 1926 г."
109,nm0151419,2024-01-08,2024-04-12,"38467 points","Kyle Chandler","Argo","17 сентября 1965 г."
110,nm0932112,2024-01-08,2024-01-08,"37963 points","Mykelti Williamson","Forrest Gump","4 марта 1957 г."
111,nm0000332,2024-01-08,2024-01-08,"37948 points","Don Cheadle","Crash","29 ноября 1964 г."
112,nm0000008,2024-01-08,2024-01-08,"37869 points","Marlon Brando","Apocalypse Now","3 апреля 1924 г."
113,nm0001136,2024-01-08,2024-01-08,"37754 points","Bruce Dern","Nebraska","4 июня 1936 г."
114,nm0001173,2024-01-08,2024-01-08,"37135 points","Aaron Eckhart","The Dark Knight","12 марта 1968 г."
115,nm0991810,2024-01-08,2024-03-10,"36762 points","Mahershala Ali","Leave the World Behind","16 февраля 1974 г."
116,nm0000115,2024-01-08,2024-03-26,"36134 points","Nicolas Cage","Face/Off","7 января 1964 г."
117,nm0000110,2024-01-08,2024-03-09,"35620 points","Kenneth Branagh","Henry V","10 декабря 1960 г."
118,nm0000686,2024-01-08,2024-06-03,"35531 points","Christopher Walken","The Deer Hunter","31 марта 1943 г."
119,nm0001321,2024-01-08,2024-01-08,"35510 points","Richard Harris","Gladiator","1 октября 1930 г."
120,nm0302108,2024-01-08,2024-01-08,"35406 points","Zach Galifianakis","The Hangover","1 октября 1969 г."
121,nm1706767,2024-01-08,2024-01-08,"35142 points","Jonah Hill","21 Jump Street","20 декабря 1983 г."
122,nm0000120,2024-01-08,2024-01-08,"35008 points","Jim Carrey","Ace Ventura: Pet Detective","17 января 1962 г."
123,nm0001744,2024-01-08,2024-01-08,"34838 points","Tom Sizemore","Saving Private Ryan","29 ноября 1961 г."
124,nm0000424,2024-01-08,2024-01-08,"34507 points","Hugh Grant","Love Actually","9 сентября 1960 г."
125,nm0942482,2024-01-08,2024-04-25,"34228 points","Jeffrey Wright","The French Dispatch of the Liberty, Kansas Evening Sun","7 декабря 1965 г."
126,nm0000609,2024-01-08,2024-01-08,"34214 points","Ving Rhames","Pulp Fiction","12 мая 1959 г."
127,nm1727304,2024-01-08,2024-01-08,"34205 points","Domhnall Gleeson","Ex Machina","12 мая 1983 г."
128,nm0001285,2024-01-08,2024-01-08,"34116 points","Elliott Gould","MASH","29 августа 1938 г."
129,nm0136797,2024-01-08,2024-04-25,"33924 points","Steve Carell","The Office","16 августа 1962 г."
130,nm0000156,2024-01-08,2024-05-28,"33868 points","Jeff Goldblum","Jurassic Park","22 октября 1952 г."
131,nm0000125,2024-01-08,2024-01-08,"33663 points","Sean Connery","The Rock","25 августа 1930 г."
132,nm0000604,2024-01-08,2024-01-08,"33279 points","John C. Reilly","Chicago","24 мая 1965 г."
133,nm0799777,2024-01-08,2024-03-08,"33062 points","J.K. Simmons","Whiplash","9 января 1955 г."
134,nm0001758,2024-01-08,2024-01-08,"32883 points","Timothy Spall","Mr. Turner","27 февраля 1957 г."
135,nm0000596,2024-01-08,2024-01-08,"32827 points","Jonathan Pryce","The Two Popes","1 июня 1947 г."
136,nm0836121,2024-01-08,2024-02-05,"32707 points","Michael Stuhlbarg","A Serious Man","5 июля 1968 г."
137,nm0000576,2024-01-08,2024-02-11,"32578 points","Sean Penn","Mystic River","17 августа 1960 г."
138,nm0000102,2024-01-08,2024-03-10,"32360 points","Kevin Bacon","Footloose","8 июля 1958 г."
139,nm1242688,2024-01-08,2024-01-08,"32217 points","Josh Hutcherson","The Hunger Games","12 октября 1992 г."
140,nm0001215,2024-01-08,2024-07-01,"32027 points","Albert Finney","Murder on the Orient Express","9 мая 1936 г."
141,nm0001475,2024-01-08,2024-03-09,"31956 points","John Lithgow","The World According to Garp","19 октября 1945 г."
142,nm0001557,2024-01-08,2024-01-28,"31771 points","Viggo Mortensen","The Lord of the Rings: The Return of the King","20 октября 1958 г."
143,nm0000169,2024-01-08,2024-01-08,"31662 points","Tommy Lee Jones","The Fugitive","15 сентября 1946 г."
144,nm0000513,2024-01-08,2024-01-08,"31540 points","William H. Macy","Fargo","13 марта 1950 г."
145,nm0000657,2024-01-08,2024-03-06,"31195 points","David Strathairn","Good Night, and Good Luck.","26 января 1949 г."
146,nm0000434,2024-01-08,2024-01-08,"31054 points","Mark Hamill","Star Wars","25 сентября"
147,nm0000606,2024-01-08,2024-01-08,"30707 points","Jean Reno","Léon","30 июля 1948 г."
148,nm2955013,2024-01-08,2024-01-08,"30704 points","Liam Hemsworth","The Hunger Games","13 января 1990 г."
149,nm0000546,2024-01-08,2024-01-08,"30683 points","Matthew Modine","Full Metal Jacket","22 марта 1959 г."
150,nm0000685,2024-01-08,2024-04-18,"30661 points","Jon Voight","Midnight Cowboy","29 декабря 1938 г."
151,nm0000154,2024-01-08,2024-02-11,"30571 points","Mel Gibson","Braveheart","3 января 1956 г."
152,nm0000641,2024-01-08,2024-01-08,"30471 points","Gary Sinise","Forrest Gump","17 марта 1955 г."
153,nm0000501,2024-01-08,2024-01-08,"30325 points","Ray Liotta","Narc","18 декабря 1954 г."
154,nm0164809,2024-01-08,2024-04-12,"30311 points","Jason Clarke","Zero Dark Thirty","17 июля 1969 г."
155,nm0001330,2024-01-08,2024-01-08,"30256 points","Sterling Hayden","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","26 марта 1916 г."
156,nm1209966,2024-01-08,2024-01-08,"29950 points","Oscar Isaac","Ex Machina","9 марта 1979 г."
157,nm0626259,2024-01-08,2024-01-08,"29732 points","Franco Nero","John Wick: Chapter 2","23 ноября 1941 г."
158,nm0654648,2024-01-08,2024-01-08,"29673 points","David Oyelowo","Lawmen: Bass Reeves","1 апреля 1976 г."
159,nm0000704,2024-01-08,2024-03-18,"29446 points","Elijah Wood","The Lord of the Rings: The Fellowship of the Ring","28 января 1981 г."
160,nm0000467,2024-01-08,2024-01-08,"29409 points","Don Johnson","Miami Vice","15 декабря 1949 г."
161,nm0924210,2024-01-08,2024-01-08,"29255 points","Ben Whishaw","Skyfall","14 октября 1980 г."
162,nm0000092,2024-01-08,2024-01-08,"29135 points","John Cleese","A Fish Called Wanda","27 октября 1939 г."
163,nm0000518,2024-01-08,2024-03-11,"29017 points","John Malkovich","Being John Malkovich","9 декабря 1953 г."
164,nm0000610,2024-01-08,2024-01-08,"28981 points","Giovanni Ribisi","Boiler Room","17 декабря 1974 г."
165,nm0000474,2024-01-08,2024-01-08,"28981 points","Michael Keaton","Birdman or (The Unexpected Virtue of Ignorance)","5 сентября 1951 г."
166,nm0001099,2024-01-08,2024-03-13,"28768 points","Jeff Daniels","The Squid and the Whale","19 февраля 1955 г."
167,nm3154303,2024-01-08,2024-01-27,"28332 points","Timothée Chalamet","Call Me by Your Name","27 декабря 1995 г."
168,nm0000297,2024-01-08,2024-01-08,"28323 points","Tom Berenger","Platoon","31 мая 1949 г."
169,nm0000671,2024-01-08,2024-01-08,"28048 points","Billy Bob Thornton","Sling Blade","4 августа 1955 г."
170,nm0001731,2024-01-08,2024-01-08,"27928 points","Sam Shepard","August: Osage County","5 ноября 1943 г."
171,nm0005458,2024-01-08,2024-01-08,"27559 points","Jason Statham","Crank","26 июля 1967 г."
172,nm0000150,2024-01-08,2024-01-08,"27299 points","Michael J. Fox","Back to the Future","9 июня 1961 г."
173,nm0001001,2024-01-08,2024-01-08,"27206 points","James Caan","Thief","26 марта 1940 г."
174,nm0000200,2024-01-08,2024-05-07,"27181 points","Bill Paxton","Aliens","17 мая 1955 г."
175,nm0000284,2024-01-08,2024-05-28,"27172 points","Adam Baldwin","Serenity","27 февраля 1962 г."
176,nm0790688,2024-01-08,2024-01-08,"27016 points","Michael Sheen","Masters of Sex","5 февраля 1969 г."
177,nm0000432,2024-01-08,2024-01-08,"26905 points","Gene Hackman","The French Connection","30 января 1930 г."
178,nm1165110,2024-01-08,2024-01-08,"26765 points","Chris Hemsworth","Snow White and the Huntsman","11 августа 1983 г."
179,nm0000621,2024-01-08,2024-01-14,"26709 points","Kurt Russell","Escape from New York","17 марта 1951 г."
180,nm0000273,2024-01-08,2024-01-08,"26631 points","Alan Arkin","Argo","26 марта 1934 г."
181,nm0000313,2024-01-08,2024-01-08,"26440 points","Jeff Bridges","The Big Lebowski","4 декабря 1949 г."
182,nm0000442,2024-01-08,2024-01-08,"26047 points","Rutger Hauer","Hobo with a Shotgun","23 января 1944 г."
183,nm0000174,2024-01-08,2024-06-03,"25936 points","Val Kilmer","The Doors","31 декабря 1959 г."
184,nm0736622,2024-01-08,2024-01-08,"25920 points","Seth Rogen","This Is the End","15 апреля 1982 г."
185,nm0075321,2024-01-08,2024-01-08,"25155 points","Christian Berkel","Valkyrie","28 октября 1957 г."
186,nm0000458,2024-01-08,2024-02-27,"25005 points","William Hurt","A History of Violence","20 марта 1950 г."
187,nm0370035,2024-01-08,2024-01-08,"24882 points","John Hawkes","The Sessions","11 сентября 1959 г."
188,nm0000071,2024-01-08,2024-01-08,"24039 points","James Stewart","Anatomy of a Murder","20 мая 1908 г."
189,nm1500155,2024-01-08,2024-01-08,"24026 points","Robert Pattinson","Twilight","13 мая 1986 г."
190,nm0000412,2024-01-08,2024-01-08,"23997 points","Andy Garcia","Ocean's Eleven","12 апреля 1956 г."
191,nm0001993,2024-01-08,2024-01-08,"23947 points","Vincent Cassel","Black Swan","23 ноября 1966 г."
192,nm1886602,2024-01-08,2024-01-08,"23593 points","Miles Teller","Whiplash","20 февраля 1987 г."
193,nm0000126,2024-01-08,2024-01-08,"23554 points","Kevin Costner","The Postman","18 января 1955 г."
194,nm0670408,2024-01-08,2024-01-08,"23458 points","Simon Pegg","Shaun of the Dead","14 февраля 1970 г."
195,nm0654110,2024-01-08,2024-01-08,"23401 points","Clive Owen","Children of Men","3 октября 1964 г."
196,nm0005024,2024-01-08,2024-01-08,"23363 points","Terrence Howard","Crash","11 марта 1969 г."
197,nm0000460,2024-01-08,2024-05-12,"23257 points","Jeremy Irons","Dead Ringers","19 сентября 1948 г."
198,nm0386472,2024-01-08,2024-06-16,"23186 points","Emile Hirsch","Into the Wild","13 марта 1985 г."
199,nm0924154,2024-01-08,2024-04-12,"22940 points","Shea Whigham","Take Shelter","5 января 1969 г."
200,nm0420955,2024-01-08,2024-03-06,"22898 points","Richard Jenkins","The Shape of Water","4 мая 1947 г."
201,nm0000732,2024-01-08,2024-01-08,"22887 points","Danny Aiello","Do the Right Thing","20 июня 1933 г."
202,nm0000980,2024-01-08,2024-01-08,"22675 points","Jim Broadbent","Moulin Rouge!","24 мая 1949 г."
203,nm0249291,2024-01-08,2024-01-28,"22664 points","Joel Edgerton","The Gift","23 июня 1974 г."
204,nm0479471,2024-01-08,2024-05-05,"22433 points","Shia LaBeouf","Honey Boy","11 июня 1986 г."
205,nm0586568,2024-01-08,2024-01-08,"22399 points","Mads Mikkelsen","Hannibal","22 ноября 1965 г."
206,nm0023832,2024-01-08,2024-01-27,"22386 points","Mathieu Amalric","Le scaphandre et le papillon","25 октября 1965 г."
207,nm0396812,2024-01-08,2024-01-08,"22356 points","Danny Huston","The Constant Gardener","14 мая 1962 г."
208,nm0000027,2024-01-08,2024-01-08,"22331 points","Alec Guinness","Star Wars","2 апреля 1914 г."
209,nm0001082,2024-01-08,2024-07-01,"22282 points","Billy Crudup","Almost Famous","8 июля 1968 г."
210,nm0005286,2024-01-08,2024-03-11,"22226 points","Haley Joel Osment","The Sixth Sense","10 апреля 1988 г."
211,nm0186505,2024-01-08,2024-04-25,"22177 points","Bryan Cranston","Breaking Bad","7 марта 1956 г."
212,nm0000321,2024-01-08,2024-01-08,"21904 points","Gabriel Byrne","The Usual Suspects","12 мая 1950 г."
213,nm0001806,2024-01-08,2024-01-08,"21744 points","John Turturro","Fading Gigolo","28 февраля 1957 г."
214,nm0002017,2024-01-08,2024-01-08,"21725 points","Richard Conte","The Godfather","24 марта 1910 г."
215,nm0000560,2024-01-08,2024-01-08,"21640 points","Nick Nolte","Warrior","8 февраля 1941 г."
216,nm0290556,2024-01-08,2024-01-08,"21539 points","James Franco","Spring Breakers","19 апреля 1978 г."
217,nm0000358,2024-01-08,2024-01-08,"21409 points","Daniel Day-Lewis","There Will Be Blood","29 апреля 1957 г."
218,nm0638824,2024-01-08,2024-01-08,"21157 points","Michael Nyqvist","Mission: Impossible - Ghost Protocol","8 ноября 1960 г."
219,nm0262635,2024-01-08,2024-03-03,"21045 points","Chris Evans","The Avengers","13 июня 1981 г."
220,nm0001016,2024-01-08,2024-01-08,"20987 points","David Carradine","Kill Bill: Vol. 2","8 декабря 1936 г."
221,nm0001358,2024-01-08,2024-01-08,"20920 points","Hal Holbrook","Into the Wild","17 февраля 1925 г."
222,nm0000597,2024-01-08,2024-05-28,"20891 points","Bill Pullman","Independence Day","17 декабря 1953 г."
223,nm0765597,2024-01-08,2024-02-08,"20829 points","Peter Sarsgaard","Shattered Glass","7 марта 1971 г."
224,nm0564215,2024-01-08,2024-01-08,"20599 points","James McAvoy","Filth","21 апреля 1979 г."
